epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
135.0,108.0,1047.0,675.0,10000.0,9.551099,81.0,81.0,-0.8558228,0.002,,0.0055,0.54807395,
196.0,151.0,2082.0,980.0,20000.0,9.606148,200.0,140.5,0.064997375,0.002,,0.001,0.57913405,
253.0,49.0,3081.0,1265.0,30000.0,9.737099,200.0,160.33333,-0.6485577,0.002,,0.001,0.5646836,
308.0,16.0,4162.0,1540.0,40000.0,9.6107645,165.0,161.5,0.110831745,0.002,,0.001,0.59942496,
373.0,120.0,5272.0,1865.0,50000.0,9.484067,200.0,169.2,0.05511694,0.002,,0.001,0.55301493,
423.0,120.0,6382.0,2115.0,60000.0,9.401442,200.0,174.33333,0.51052743,0.002,,0.001,0.5687767,
474.0,142.0,7507.0,2370.0,70000.0,9.324631,200.0,178.0,-0.2802696,0.002,,0.001,0.5733324,
524.0,166.0,8618.0,2620.0,80000.0,9.282896,200.0,180.75,0.232993,0.002,,0.001,0.5507309,
576.0,78.0,9714.0,2880.0,90000.0,9.264978,200.0,182.88889,0.1466386,0.002,,0.001,0.5766231,
628.0,21.0,10793.0,3140.0,100000.0,9.2652645,200.0,184.6,0.25187886,0.002,,0.001,0.5874206,
