epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
228.0,49.0,2150.0,1140.0,10000.0,4.6511626,47.0,47.0,0.00025261706,0.002,,0.0055,0.6236244,
372.0,19.0,4332.0,1860.0,20000.0,4.616805,130.0,88.5,0.0014429797,0.002,,0.001,0.619748,
449.0,144.0,6398.0,2245.0,30000.0,4.6889653,78.0,85.0,0.0022485794,0.002,,0.001,0.57709396,
512.0,77.0,8447.0,2560.0,40000.0,4.735409,165.0,105.0,0.0027342886,0.002,,0.001,0.5934893,
578.0,129.0,10474.0,2890.0,50000.0,4.7737255,157.0,115.4,-0.008617591,0.002,,0.001,0.59389997,
644.0,173.0,12554.0,3220.0,60000.0,4.779353,200.0,129.5,0.0016632929,0.002,,0.001,0.5682519,
702.0,37.0,14372.0,3510.0,70000.0,4.8705816,200.0,139.57143,0.00075760775,0.002,,0.001,0.5850746,
760.0,182.0,16404.0,3800.0,80000.0,4.876859,172.0,143.625,-0.00010509405,0.002,,0.001,0.58625907,
822.0,149.0,18322.0,4110.0,90000.0,4.9121275,200.0,149.88889,-0.0011169531,0.002,,0.001,0.5943417,
877.0,190.0,20297.0,4385.0,100000.0,4.9268365,200.0,154.9,-0.0004419553,0.002,,0.001,0.6041413,
