epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
150.0,18.0,1846.0,750.0,10000.0,5.417118,127.0,127.0,0.036955316,0.002,,0.0055,0.60496587,
210.0,105.0,3418.0,1050.0,20000.0,5.851375,200.0,163.5,0.12629925,0.002,,0.001,0.5706397,
265.0,93.0,4940.0,1325.0,30000.0,6.0728745,200.0,175.66667,0.4166896,0.002,,0.001,0.58421594,
317.0,20.0,6422.0,1585.0,40000.0,6.228589,200.0,181.75,0.16812438,0.002,,0.001,0.586669,
369.0,57.0,7959.0,1845.0,50000.0,6.282196,200.0,185.4,-0.12717278,0.002,,0.001,0.57181805,
420.0,7.0,9523.0,2100.0,60000.0,6.3005357,99.0,171.0,0.021546127,0.002,,0.001,0.52992994,
471.0,125.0,11080.0,2355.0,70000.0,6.3176894,200.0,175.14285,-0.25097838,0.002,,0.001,0.54104215,
532.0,198.0,12609.0,2660.0,80000.0,6.3446746,101.0,165.875,-0.014975007,0.002,,0.001,0.5239339,
589.0,185.0,14126.0,2945.0,90000.0,6.37123,200.0,169.66667,0.3420641,0.002,,0.001,0.5516589,
641.0,25.0,15303.0,3205.0,100000.0,6.5346665,200.0,172.7,0.42714888,0.002,,0.001,0.56892335,
