epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
500.0,18.0,2188.0,2500.0,10000.0,4.570384,30.0,30.0,-0.0035582758,0.002,,0.0055,0.6924621,
1132.0,5.0,4373.0,5660.0,20000.0,4.573519,9.0,19.5,0.00091362855,0.002,,0.001,0.49924824,
2007.0,6.0,6489.0,10035.0,30000.0,4.6232085,10.0,16.333334,-0.0009802539,0.002,,0.001,0.40322694,
2950.0,3.0,8757.0,14750.0,40000.0,4.5677743,12.0,15.25,-0.0017414279,0.002,,0.001,0.38506234,
3956.0,1.0,10867.0,19780.0,50000.0,4.6010857,10.0,14.2,-0.00016937054,0.002,,0.001,0.0756007,
5026.0,10.0,13162.0,25135.0,60000.0,4.5585775,10.0,13.5,1.0116719e-07,0.002,,0.001,0.003249593,
6093.0,3.0,15194.0,30465.0,70000.0,4.607082,10.0,13.0,-6.342734e-07,0.002,,0.001,0.0051465333,
7142.0,8.0,17488.0,35710.0,80000.0,4.5745654,14.0,13.125,0.0022018102,0.002,,0.001,0.3493603,
8119.0,8.0,19778.0,40595.0,90000.0,4.550511,9.0,12.666667,-6.767541e-06,0.002,,0.001,0.008311078,
9159.0,4.0,21770.0,45795.0,100000.0,4.5934772,9.0,12.3,-9.778408e-05,0.002,,0.001,0.06405875,
