epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
378.0,17.0,2100.0,1890.0,10000.0,4.7619047,21.0,21.0,-0.0024441073,0.002,,0.0055,0.6803657,
994.0,7.0,4309.0,4970.0,20000.0,4.641448,11.0,16.0,0.00017595563,0.002,,0.001,0.1547736,
1928.0,26.0,6542.0,9640.0,30000.0,4.5857534,34.0,22.0,0.00073615194,0.002,,0.001,0.5780383,
2314.0,3.0,8684.0,11570.0,40000.0,4.606172,18.0,21.0,0.0002873327,0.002,,0.001,0.6274448,
2988.0,9.0,10896.0,14945.0,50000.0,4.58884,9.0,18.6,1.7278839e-05,0.002,,0.001,0.032606397,
4053.0,5.0,12996.0,20265.0,60000.0,4.616805,9.0,17.0,1.0832575e-05,0.002,,0.001,0.0111579755,
5108.0,1.0,15306.0,25540.0,70000.0,4.57337,8.0,15.714286,1.2954425e-05,0.002,,0.001,0.012571067,
6172.0,3.0,17645.0,30860.0,80000.0,4.533862,10.0,15.0,2.9211346e-06,0.002,,0.001,0.0057483814,
7239.0,1.0,19853.0,36195.0,90000.0,4.53332,9.0,14.333333,2.6827433e-06,0.002,,0.001,0.005925949,
8304.0,7.0,21672.0,41520.0,100000.0,4.6142488,8.0,13.7,5.122318e-06,0.002,,0.001,0.00634203,
