epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
187.0,71.0,1834.0,935.0,10000.0,5.452563,200.0,200.0,-0.0052670757,0.002,,0.0055,0.6172171,
249.0,92.0,3416.0,1245.0,20000.0,5.8548007,169.0,184.5,-0.07558872,0.002,,0.001,0.57268554,
309.0,38.0,4719.0,1545.0,30000.0,6.3572793,200.0,189.66667,0.024948504,0.002,,0.001,0.5729695,
363.0,124.0,6071.0,1815.0,40000.0,6.5887003,200.0,192.25,-0.016202737,0.002,,0.001,0.6026328,
417.0,88.0,7574.0,2085.0,50000.0,6.6015315,200.0,193.8,-0.01843032,0.002,,0.001,0.55982846,
468.0,130.0,9117.0,2340.0,60000.0,6.5811124,200.0,194.83333,0.0273938,0.002,,0.001,0.5690045,
519.0,104.0,10733.0,2595.0,70000.0,6.5219417,200.0,195.57143,0.006612118,0.002,,0.001,0.5626982,
570.0,104.0,12240.0,2850.0,80000.0,6.535948,200.0,196.125,0.025270138,0.002,,0.001,0.54679793,
632.0,120.0,13816.0,3160.0,90000.0,6.5141864,200.0,196.55556,-0.004539637,0.002,,0.001,0.5659893,
689.0,110.0,15304.0,3445.0,100000.0,6.5342393,200.0,196.9,0.033872135,0.002,,0.001,0.56236494,
