epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
259.0,103.0,1680.0,1295.0,10000.0,5.952381,70.0,70.0,0.3265172,0.002,,0.0055,0.5502505,
322.0,114.0,3162.0,1610.0,20000.0,6.325111,200.0,135.0,0.4112709,0.002,,0.001,0.57606995,
377.0,121.0,4582.0,1885.0,30000.0,6.5473595,143.0,137.66667,0.09595742,0.002,,0.001,0.5597845,
433.0,13.0,6176.0,2165.0,40000.0,6.476684,200.0,153.25,-0.8883943,0.002,,0.001,0.55479884,
484.0,114.0,7601.0,2420.0,50000.0,6.5780816,200.0,162.6,0.7115198,0.002,,0.001,0.5749418,
535.0,53.0,9162.0,2675.0,60000.0,6.5487885,200.0,168.83333,0.2830169,0.002,,0.001,0.5359909,
585.0,170.0,10663.0,2925.0,70000.0,6.564757,200.0,173.28572,0.5645684,0.002,,0.001,0.53191286,
639.0,31.0,12172.0,3195.0,80000.0,6.5724616,200.0,176.625,1.0117843,0.002,,0.001,0.5404271,
696.0,194.0,13690.0,3480.0,90000.0,6.5741415,198.0,179.0,-0.87481165,0.002,,0.001,0.54295933,
747.0,115.0,15216.0,3735.0,100000.0,6.5720296,200.0,181.1,0.7787007,0.002,,0.001,0.51422477,
