epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
204.0,166.0,2142.0,1020.0,10000.0,4.6685343,135.0,135.0,0.0022525454,0.002,,0.0055,0.6008006,
274.0,80.0,4251.0,1370.0,20000.0,4.7047753,121.0,128.0,-0.006988682,0.002,,0.001,0.59522986,
343.0,14.0,6356.0,1715.0,30000.0,4.7199497,200.0,152.0,0.001370438,0.002,,0.001,0.6221953,
399.0,21.0,8398.0,1995.0,40000.0,4.7630386,200.0,164.0,0.00021274236,0.002,,0.001,0.60516447,
456.0,13.0,10490.0,2280.0,50000.0,4.766444,200.0,171.2,0.002648228,0.002,,0.001,0.60231966,
511.0,176.0,12291.0,2555.0,60000.0,4.881621,115.0,161.83333,0.005464863,0.002,,0.001,0.54781777,
564.0,49.0,14207.0,2820.0,70000.0,4.927149,200.0,167.28572,-0.0007885394,0.002,,0.001,0.5871376,
616.0,110.0,16246.0,3080.0,80000.0,4.924289,200.0,171.375,0.002610373,0.002,,0.001,0.5738346,
667.0,59.0,18325.0,3335.0,90000.0,4.9113235,200.0,174.55556,-0.011311068,0.002,,0.001,0.5592595,
718.0,28.0,20307.0,3590.0,100000.0,4.9244103,200.0,177.1,0.0016471527,0.002,,0.001,0.59981436,
