epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
191.0,31.0,2163.0,955.0,10000.0,4.6232085,123.0,123.0,-0.07540625,0.002,,0.0055,0.6196931,
261.0,20.0,4283.0,1305.0,20000.0,4.6696243,108.0,115.5,-0.074795425,0.002,,0.001,0.583665,
319.0,78.0,6251.0,1595.0,30000.0,4.799232,200.0,143.66667,0.0051499186,0.002,,0.001,0.58128744,
375.0,114.0,8239.0,1875.0,40000.0,4.854958,200.0,157.75,-0.0018674249,0.002,,0.001,0.58651996,
431.0,72.0,10108.0,2155.0,50000.0,4.946577,143.0,154.8,-0.065237485,0.002,,0.001,0.5625329,
486.0,144.0,12129.0,2430.0,60000.0,4.9468217,200.0,162.33333,-0.007332177,0.002,,0.001,0.57053775,
544.0,7.0,13901.0,2720.0,70000.0,5.035609,161.0,162.14285,-0.0046856403,0.002,,0.001,0.55931216,
595.0,84.0,15941.0,2975.0,80000.0,5.0185056,198.0,166.625,0.003302964,0.002,,0.001,0.5582211,
650.0,112.0,17935.0,3250.0,90000.0,5.018121,200.0,170.33333,0.0065876893,0.002,,0.001,0.5614405,
709.0,76.0,19993.0,3545.0,100000.0,5.0017505,149.0,168.2,-0.006369586,0.002,,0.001,0.5458361,
