epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
243.0,65.0,1959.0,1215.0,10000.0,5.1046453,91.0,91.0,0.016591221,0.002,,0.0055,0.6162485,
315.0,182.0,4040.0,1575.0,20000.0,4.9504952,200.0,145.5,0.005118232,0.002,,0.001,0.6288711,
377.0,71.0,6080.0,1885.0,30000.0,4.9342103,200.0,163.66667,0.0033382382,0.002,,0.001,0.61872596,
433.0,6.0,8127.0,2165.0,40000.0,4.9218655,154.0,161.25,-0.016857373,0.002,,0.001,0.59278274,
488.0,55.0,10200.0,2440.0,50000.0,4.901961,32.0,135.4,-0.030117057,0.002,,0.001,0.4562415,
542.0,31.0,12162.0,2710.0,60000.0,4.933399,163.0,140.0,-0.01216173,0.002,,0.001,0.60600793,
598.0,39.0,14173.0,2990.0,70000.0,4.9389687,192.0,147.42857,-0.0030848258,0.002,,0.001,0.5974892,
650.0,127.0,16317.0,3250.0,80000.0,4.902862,200.0,154.0,-0.014924603,0.002,,0.001,0.5748684,
704.0,181.0,18420.0,3520.0,90000.0,4.8859935,200.0,159.11111,0.003446519,0.002,,0.001,0.5910089,
755.0,55.0,20348.0,3775.0,100000.0,4.914488,200.0,163.2,-0.02319874,0.002,,0.001,0.5570382,
