epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
213.0,100.0,2084.0,1065.0,10000.0,4.7984643,33.0,33.0,0.033089787,0.002,,0.0055,0.5924205,
312.0,24.0,4231.0,1560.0,20000.0,4.727015,74.0,53.5,0.021047909,0.002,,0.001,0.6152616,
393.0,138.0,6292.0,1965.0,30000.0,4.767959,66.0,57.666668,0.034017783,0.002,,0.001,0.5836645,
455.0,26.0,8271.0,2275.0,40000.0,4.8361745,70.0,60.75,0.041726388,0.002,,0.001,0.50885266,
512.0,117.0,10329.0,2560.0,50000.0,4.8407397,200.0,88.6,0.0018569869,0.002,,0.001,0.5963766,
569.0,101.0,12429.0,2845.0,60000.0,4.8274198,200.0,107.166664,0.003872842,0.002,,0.001,0.5962866,
621.0,85.0,14427.0,3105.0,70000.0,4.8520136,200.0,120.42857,0.0019253867,0.002,,0.001,0.5864294,
672.0,48.0,16540.0,3360.0,80000.0,4.8367596,198.0,130.125,-0.0071985023,0.002,,0.001,0.568312,
724.0,112.0,18655.0,3620.0,90000.0,4.824444,200.0,137.88889,0.0024264418,0.002,,0.001,0.5797013,
777.0,45.0,20425.0,3885.0,100000.0,4.895961,200.0,144.1,0.0005439786,0.002,,0.001,0.58143854,
