trial,agent.0.algorithm.gamma,final_return_ma,strength,max_strength,final_strength,sample_efficiency,training_efficiency,stability,consistency
6,0.999,188.75,166.8900032043457,178.13999938964844,152.88999938964844,2.785362539725611e-05,0.0005419834269559942,0.9465188644826412,0.7303613197812784
5,0.99,180.97500228881836,159.1150016784668,178.13999938964844,178.13999938964844,2.6659287868824322e-05,0.0005584825266851112,0.9304304560646415,0.6197577911453436
4,0.9,179.3499984741211,157.4900016784668,178.13999938964844,173.63999938964844,2.8284041945880745e-05,0.0006052755634300411,0.9095039488747716,0.6736748000109444
3,0.8,169.0999984741211,147.2400016784668,178.13999938964844,133.63999938964844,2.715571190492483e-05,0.0005106605894980021,0.8614716194570065,0.5101119632800832
2,0.7000000000000001,163.47500610351562,141.61500549316406,178.13999938964844,177.63999938964844,2.208331670772168e-05,0.0004266146497684531,0.9416831762064248,0.45594939652710553
1,0.5,146.64999771118164,124.79000473022461,178.13999938964844,127.38999938964844,2.0750011572090443e-05,0.0002770465325738769,0.8613619841635227,0.3951330540946866
0,0.1,17.0,-4.8600006103515625,31.139999389648438,-12.610000610351562,2.6723025030150893e-05,0.00011050109515053919,0.26484405994415283,5.273090532330732
